"client_code","product","push_notification","_benefit","_cluster","_balance"
"1","Кредитная карта","Айгерим, ваши топ‑категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 143 818 ₸ в месяц — выгодно","155077.421","0","92643"
"2","Депозит мультивалютный","Данияр, держите средства в нескольких валютах? Мультивалютный вклад 14.5% годовых — удобное хранение USD/EUR, свободное пополнение и защита от колебаний курса. Доход ~19 056 ₸ в месяц. Открыть мультивалютный вклад?","229675.585","0","1577073"
"3","Кредитная карта","Сабина, ваши топ‑категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 128 787 ₸ в месяц — выгодно","130739.489","0","63116"
"4","Кредитная карта","Тимур, ваши топ‑категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 153 960 ₸ в месяц — выгодно","157798.862","0","83351"
"5","Депозит мультивалютный","Камилла, держите средства в нескольких валютах? Мультивалютный вклад 14.5% годовых — удобное хранение USD/EUR, свободное пополнение и защита от колебаний курса. Доход ~16 150 ₸ в месяц. Открыть мультивалютный вклад?","194797.72","0","1336536"
"6","Кредитная карта","Аян, ваши топ‑категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 155 540 ₸ в месяц — выгодно","171246.31900000002","0","131929"
"7","Депозит мультивалютный","Руслан, держите средства в нескольких валютах? Мультивалютный вклад 14.5% годовых — удобное хранение USD/EUR, свободное пополнение и защита от колебаний курса. Доход ~48 829 ₸ в месяц. Открыть мультивалютный вклад?","586944.565","0","4040997"
"8","Кредитная карта","Мадина, ваши топ‑категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 184 200 ₸ в месяц — выгодно","196005.537","0","1058403"
"9","Депозит мультивалютный","Арман, держите средства в нескольких валютах? Мультивалютный вклад 14.5% годовых — удобное хранение USD/EUR, свободное пополнение и защита от колебаний курса. Доход ~37 267 ₸ в месяц. Открыть мультивалютный вклад?","448206.1","0","3084180"
"10","Кредитная карта","Карина, ваши топ‑категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 171 224 ₸ в месяц — выгодно","188689.755","0","1277325"
"11","Депозит мультивалютный","Бауржан, держите средства в нескольких валютах? Мультивалютный вклад 14.5% годовых — удобное хранение USD/EUR, свободное пополнение и защита от колебаний курса. Доход ~39 036 ₸ в месяц. Открыть мультивалютный вклад?","469432.93999999994","0","3230572"
"12","Кредитная карта","Жанар, ваши топ‑категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 145 117 ₸ в месяц — выгодно","167456.907","0","849046"
"13","Кредитная карта","Алина, ваши топ‑категории — Продукты питания, Кафе и рестораны, Едим дома. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 143 069 ₸ в месяц — выгодно","134005.15600000002","0","54074"
"14","Кредитная карта","Диас, ваши топ‑категории — Продукты питания, Кафе и рестораны, Едим дома. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 161 190 ₸ в месяц — выгодно","141918.575","0","57385"
"15","Кредитная карта","Нурия, ваши топ‑категории — Кафе и рестораны, Продукты питания, Едим дома. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 147 477 ₸ в месяц — выгодно","157968.058","0","160778"
"16","Кредитная карта","Ерасыл, ваши топ‑категории — Продукты питания, Кафе и рестораны, Едим дома. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 144 187 ₸ в месяц — выгодно","131110.52000000002","0","46630"
"17","Кредитная карта","Жанель, ваши топ‑категории — Кафе и рестораны, Продукты питания, Едим дома. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 155 873 ₸ в месяц — выгодно","157003.586","0","89126"
"18","Кредитная карта","Санжар, ваши топ‑категории — Продукты питания, Едим дома, Кафе и рестораны. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 158 089 ₸ в месяц — выгодно","155943.655","0","98089"
"19","Обмен валют","Азамат, планируете расчёты в валюте? В приложении удобный обмен по целевому курсу и хранение в USD/EUR без лишних комиссий. Всё прозрачно и выгодно. Настроить валютный счёт и авто‑обмен?","4304.678134999999","0","80150"
"20","Обмен валют","Анель, планируете расчёты в валюте? В приложении удобный обмен по целевому курсу и хранение в USD/EUR без лишних комиссий. Всё прозрачно и выгодно. Настроить валютный счёт и авто‑обмен?","4235.38538","0","141515"
"21","Обмен валют","Павел, планируете расчёты в валюте? В приложении удобный обмен по целевому курсу и хранение в USD/EUR без лишних комиссий. Всё прозрачно и выгодно. Настроить валютный счёт и авто‑обмен?","4142.821797500001","0","1798169"
"22","Обмен валют","Аружан, планируете расчёты в валюте? В приложении удобный обмен по целевому курсу и хранение в USD/EUR без лишних комиссий. Всё прозрачно и выгодно. Настроить валютный счёт и авто‑обмен?","4180.924107500001","0","77474"
"23","Обмен валют","Темирлан, планируете расчёты в валюте? В приложении удобный обмен по целевому курсу и хранение в USD/EUR без лишних комиссий. Всё прозрачно и выгодно. Настроить валютный счёт и авто‑обмен?","4207.98011","0","146389"
"24","Обмен валют","Гульмира, планируете расчёты в валюте? В приложении удобный обмен по целевому курсу и хранение в USD/EUR без лишних комиссий. Всё прозрачно и выгодно. Настроить валютный счёт и авто‑обмен?","4966.1149775","0","53785"
"25","Карта для путешествий","Адиль, в июне у вас поездки и такси на 311 411 ₸. Тревел‑карта возвращает 4% на «Путешествия» и 4% на такси — до 12 456 ₸ в месяц; удобно и выгодно. Привилегии Visa Signature для отелей, билетов и аренды авто","149477.31840000002","0","55634"
"26","Карта для путешествий","Маржан, в июне у вас поездки и такси на 306 369 ₸. Тревел‑карта возвращает 4% на «Путешествия» и 4% на такси — до 12 254 ₸ в месяц; удобно и выгодно. Привилегии Visa Signature для отелей, билетов и аренды авто","147057.24480000001","0","136248"
"27","Карта для путешествий","Нурсултан, в июне у вас поездки и такси на 282 137 ₸. Тревел‑карта возвращает 4% на «Путешествия» и 4% на такси — до 11 285 ₸ в месяц; удобно и выгодно. Привилегии Visa Signature для отелей, билетов и аренды авто","135425.6496","0","70858"
"28","Кредитная карта","Алтынай, ваши топ‑категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 136 427 ₸ в месяц — выгодно","156947.704","0","150281"
"29","Кредитная карта","Сая, ваши топ‑категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 195 767 ₸ в месяц — выгодно","200734.97600000002","0","88487"
"30","Кредитная карта","Ербол, ваши топ‑категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 179 689 ₸ в месяц — выгодно","188024.853","0","104553"
"31","Депозит мультивалютный","Дамир, держите средства в нескольких валютах? Мультивалютный вклад 14.5% годовых — удобное хранение USD/EUR, свободное пополнение и защита от колебаний курса. Доход ~15 755 ₸ в месяц. Открыть мультивалютный вклад?","190057.96","0","1303848"
"32","Депозит мультивалютный","Алия, держите средства в нескольких валютах? Мультивалютный вклад 14.5% годовых — удобное хранение USD/EUR, свободное пополнение и защита от колебаний курса. Доход ~27 999 ₸ в месяц. Открыть мультивалютный вклад?","336988.19999999995","0","2317160"
"33","Кредитная карта","Мерей, ваши топ‑категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 149 575 ₸ в месяц — выгодно","164955.49700000003","0","824246"
"34","Депозит сберегательный","Айдар, у вас остаются свободные средства. Сберегательный вклад 16.5% годовых: ожидаемый доход ~11 000 ₸ в месяц при сумме 800 000 ₸. Государственная защита, удобно пополнять онлайн. Открыть вклад сейчас?","135000.0","1","800000"
"35","Кредитная карта","Самат, ваши топ‑категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 200 292 ₸ в месяц — выгодно","220240.89900000003","0","1448797"
"36","Кредитная карта","Назым, ваши топ‑категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 142 840 ₸ в месяц — выгодно","161987.484","0","712277"
"37","Кредитная карта","Гульнар, ваши топ‑категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 138 469 ₸ в месяц — выгодно","156184.092","0","900361"
"38","Депозит мультивалютный","Серик, держите средства в нескольких валютах? Мультивалютный вклад 14.5% годовых — удобное хранение USD/EUR, свободное пополнение и защита от колебаний курса. Доход ~70 309 ₸ в месяц. Открыть мультивалютный вклад?","844707.875","0","5818675"
"39","Депозит мультивалютный","Ляззат, держите средства в нескольких валютах? Мультивалютный вклад 14.5% годовых — удобное хранение USD/EUR, свободное пополнение и защита от колебаний курса. Доход ~15 083 ₸ в месяц. Открыть мультивалютный вклад?","181994.655","0","1248239"
"40","Карта для путешествий","Асхат, в июне у вас поездки и такси на 304 917 ₸. Тревел‑карта возвращает 4% на «Путешествия» и 4% на такси — до 12 196 ₸ в месяц; удобно и выгодно. Привилегии Visa Signature для отелей, билетов и аренды авто","146360.304","0","86092"
"41","Депозит мультивалютный","Сандугаш, держите средства в нескольких валютах? Мультивалютный вклад 14.5% годовых — удобное хранение USD/EUR, свободное пополнение и защита от колебаний курса. Доход ~14 069 ₸ в месяц. Открыть мультивалютный вклад?","169825.38499999998","0","1164313"
"42","Депозит мультивалютный","Рустем, держите средства в нескольких валютах? Мультивалютный вклад 14.5% годовых — удобное хранение USD/EUR, свободное пополнение и защита от колебаний курса. Доход ~35 622 ₸ в месяц. Открыть мультивалютный вклад?","428464.06","0","2948028"
"43","Кредитная карта","Нуртас, ваши топ‑категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 134 798 ₸ в месяц — выгодно","142386.056","0","76320"
"44","Кредитная карта","Айнагуль, ваши топ‑категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 154 562 ₸ в месяц — выгодно","163186.89200000002","0","89846"
"45","Депозит сберегательный","Диана, у вас остаются свободные средства. Сберегательный вклад 16.5% годовых: ожидаемый доход ~5 500 ₸ в месяц при сумме 400 000 ₸. Государственная защита, удобно пополнять онлайн. Открыть вклад сейчас?","69000.0","1","400000"
"46","Кредитная карта","Арсен, ваши топ‑категории — Кафе и рестораны, Такси, Продукты питания. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 138 190 ₸ в месяц — выгодно","140292.15300000002","0","86024"
"47","Карта для путешествий","Камшат, в июне у вас поездки и такси на 276 636 ₸. Тревел‑карта возвращает 4% на «Путешествия» и 4% на такси — до 11 065 ₸ в месяц; удобно и выгодно. Привилегии Visa Signature для отелей, билетов и аренды авто","132785.28960000002","0","79592"
"48","Кредитная карта","Ержан, ваши топ‑категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 150 252 ₸ в месяц — выгодно","161351.11000000002","0","82214"
"49","Депозит мультивалютный","Амина, держите средства в нескольких валютах? Мультивалютный вклад 14.5% годовых — удобное хранение USD/EUR, свободное пополнение и защита от колебаний курса. Доход ~17 047 ₸ в месяц. Открыть мультивалютный вклад?","205560.055","0","1410759"
"50","Депозит мультивалютный","Тимурлан, держите средства в нескольких валютах? Мультивалютный вклад 14.5% годовых — удобное хранение USD/EUR, свободное пополнение и защита от колебаний курса. Доход ~43 182 ₸ в месяц. Открыть мультивалютный вклад?","519186.06499999994","0","3573697"
"51","Депозит мультивалютный","Жанат, держите средства в нескольких валютах? Мультивалютный вклад 14.5% годовых — удобное хранение USD/EUR, свободное пополнение и защита от колебаний курса. Доход ~17 267 ₸ в месяц. Открыть мультивалютный вклад?","208208.91499999998","0","1429027"
"52","Депозит сберегательный","Милана, у вас остаются свободные средства. Сберегательный вклад 16.5% годовых: ожидаемый доход ~47 007 ₸ в месяц при сумме 3 418 709 ₸. Государственная защита, удобно пополнять онлайн. Открыть вклад сейчас?","394860.8895","0","3418709"
"53","Карта для путешествий","Расул, в июне у вас поездки и такси на 315 007 ₸. Тревел‑карта возвращает 4% на «Путешествия» и 4% на такси — до 12 600 ₸ в месяц; удобно и выгодно. Привилегии Visa Signature для отелей, билетов и аренды авто","151203.12480000002","0","1258584"
"54","Депозит мультивалютный","Виктория, держите средства в нескольких валютах? Мультивалютный вклад 14.5% годовых — удобное хранение USD/EUR, свободное пополнение и защита от колебаний курса. Доход ~49 340 ₸ в месяц. Открыть мультивалютный вклад?","593077.63","0","4083294"
"55","Депозит сберегательный","Асель, у вас остаются свободные средства. Сберегательный вклад 16.5% годовых: ожидаемый доход ~48 186 ₸ в месяц при сумме 3 504 443 ₸. Государственная защита, удобно пополнять онлайн. Открыть вклад сейчас?","404763.16649999993","0","3504443"
"56","Кредитная карта","Нуркен, ваши топ‑категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 159 714 ₸ в месяц — выгодно","157811.01800000004","0","60622"
"57","Депозит мультивалютный","Жания, держите средства в нескольких валютах? Мультивалютный вклад 14.5% годовых — удобное хранение USD/EUR, свободное пополнение и защита от колебаний курса. Доход ~33 322 ₸ в месяц. Открыть мультивалютный вклад?","400867.07999999996","0","2757704"
"58","Кредитная карта","Султан, ваши топ‑категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 150 312 ₸ в месяц — выгодно","162382.445","0","62335"
"59","Депозит сберегательный","Динара, у вас остаются свободные средства. Сберегательный вклад 16.5% годовых: ожидаемый доход ~60 878 ₸ в месяц при сумме 4 427 461 ₸. Государственная защита, удобно пополнять онлайн. Открыть вклад сейчас?","511371.7455","0","4427461"
"60","Кредитная карта","Ермек, ваши топ‑категории — Кафе и рестораны, Такси, Продукты питания. Кредитная карта: до 10% кешбэк в трёх любимых + 10% на онлайн‑сервисы (игры, доставка, кино). Потенциально вернётся 142 690 ₸ в месяц — выгодно","146159.679","0","48779"
